"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"AE 152","Pant R.K.","17","5","5A-LC 201-09:30:00-10:55:005B-LC 201-09:30:00-10:55:00"
"AE 153","Pant R.K.","16","5","5A-LC 201-09:30:00-10:55:005B-LC 201-09:30:00-10:55:00"
"AE 216","Aniruddha Sinha","1","6","6B-SMA210-11:05:00-12:30:006A-SMA210-11:05:00-12:30:00"
"AE 223","I06005 - Krishnendu Sinha","","","9A-LC 001-15:30:00-16:55:009B-LC 001-15:30:00-16:55:00"
"AE 223","Krishnendu Sinha","55","1","1C-LH 102-10:35:00-11:30:001A-LH 102-08:30:00-09:25:001B-LH 102-09:30:00-10:25:00"
"AE 225","Aniruddha Sinha","53","6","6B-SMA210-11:05:00-12:30:006A-SMA210-11:05:00-12:30:00"
"AE 227","Chandra S. Yerramalli","58","11","11B-SMAG11-15:30:00-16:55:0011A-SMAG11-15:30:00-16:55:00"
"AE 234","S. P. Mahulikar","6","15","15B-LT 302-19:00:00-20:25:0015A-LT 302-19:00:00-20:25:00"
"AE 236","Mandal J.C.","5","3","3B-LC 101-11:35:00-12:30:003A-LC 101-10:35:00-11:30:003C-LC 101-08:30:00-09:25:00"
"AE 305","Joshi Ashok","75","14","14A-LC 002-17:30:00-18:55:0014B-LC 002-17:30:00-18:55:00"
"AE 308","Joshi Ashok","52","11","11A-LC 201-15:30:00-16:55:0011B-LC 201-15:30:00-16:55:00"
"AE 314","Chandra S. Yerramalli","56","L1","L1--14:00:00-16:55:00"
"AE 316","Kowsik V R Bodi","3","L1","L1--14:00:00-16:55:00"
"AE 326","Shimpi R.P.","66","13","13B-SMA206-19:00:00-20:25:0013A-SMA206-19:00:00-20:25:00"
"AE 329","S. P. Mahulikar","5","15","15B-LT 302-19:00:00-20:25:0015A-LT 302-19:00:00-20:25:00"
"AE 333","Vineeth Nair","53","10","10A-LC 002-14:00:00-15:25:0010B-LC 002-14:00:00-15:25:00"
"AE 407","Arya Hemendra","57","3","3B-LC 102-11:35:00-12:30:003C-LC 102-08:30:00-09:25:003A-LC 102-10:35:00-11:30:00"
"AE 427","Arnab Maity","53","L",""
"AE 429","Shevare G.R.","35","14","14B-SMAG11-17:30:00-18:55:0014A-SMAG11-17:30:00-18:55:00"
